Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Description
AT1G73480,60.1364654009005,-0.720644873667371,0.180438110492257,-3.99386178286485,6.50057668854355e-05,0.00645016079185176,alpha/beta-Hydrolases superfamily protein
AT1G67810,174.551593988444,-0.715504141581193,0.150872357837187,-4.74244687256312,2.11152213591494e-06,0.000662083525767232,sulfur E2
AT3G53980,558.007014219077,-0.715281357346408,0.150869417650585,-4.74106262544877,2.12600198931829e-06,0.000662083525767232,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT3G14620,134.455404204,-0.714819576247168,0.152492108042773,-4.68758406859104,2.76449151428051e-06,0.000822374333897387,cytochrome P450, family 72, subfamily A, polypeptide 8
AT4G16690,4.72922211199127,-0.712370639069586,0.201094960505758,-3.54245893222763,0.000396415142798199,0.0224152045851056,methyl esterase 16
AT4G33467,13.6001375325967,-0.70903098207164,0.199861495518099,-3.54761171096826,0.000388740857733983,0.0222005559756333,
AT4G00210,3.27134329526544,-0.707617207468075,0.201245024295117,-3.51619728212702,0.000437775561840241,0.0243044699806068,LOB domain-containing protein 31
AT5G53970,56.3356090228136,-0.703974485786707,0.152554999033937,-4.61456189731352,3.939253663524e-06,0.00103306927325917,Tyrosine transaminase family protein
AT3G50970,1863.95566386947,-0.69587383849816,0.171327812910324,-4.06165132605989,4.87268168479229e-05,0.00562380861538257,dehydrin family protein
AT5G65300,40.305703174387,-0.695790247080775,0.156983138406541,-4.43226103225736,9.32500275041929e-06,0.00181074284278297,
AT3G02150,8.49722273457281,-0.695731791582541,0.196372174343703,-3.54292452027764,0.000395715945522982,0.0224152045851056,plastid transcription factor 1
AT5G48570,257.281307191613,-0.694820649130365,0.201336604301789,-3.45103987195929,0.000558431063595658,0.0277750490528495,FKBP-type peptidyl-prolyl cis-trans isomerase family protein
AT2G40100,14.1679505290326,-0.694020649002274,0.186361236757028,-3.7240611893294,0.000196043377141311,0.0141059225624674,light harvesting complex photosystem II
AT3G26290,122.233900774065,-0.693751688192477,0.121946607757653,-5.68897897981045,1.27801197669015e-08,1.69813711382742e-05,cytochrome P450, family 71, subfamily B, polypeptide 26
AT5G54300,40.0382264876805,-0.692417261771349,0.164070182586944,-4.22025044925164,2.44031058735988e-05,0.00352312556865233,Protein of unknown function (DUF761)
AT3G61890,109.079685852363,-0.690057823300546,0.182691868857033,-3.7771676846798,0.000158621941146551,0.0120667706450073,homeobox 12
AT1G29670,6.83235340591298,-0.689961005636912,0.194187490472412,-3.55306618340039,0.000380768654511328,0.0219440760985587,GDSL-like Lipase/Acylhydrolase superfamily protein
AT5G24160,38.0575988447719,-0.689221466226142,0.199028438297689,-3.46292957991896,0.000534328218720839,0.0272629915625443,squalene monoxygenase 6
AT4G31380,15.2433124920671,-0.688663269590863,0.197457091654427,-3.48766035101999,0.000487266640650473,0.0261771197164544,FPF1-like protein 1
AT3G24500,1838.0349128581,-0.687399937675996,0.199372824214088,-3.44781160815508,0.000565148080625348,0.0278811049379797,multiprotein bridging factor 1C
AT5G54165,32.0460473062202,-0.682935359974589,0.200703683873861,-3.40270465789658,0.000667223630342284,0.031004645544606,
AT5G43450,28.1228596422631,-0.681678676460962,0.174871076278778,-3.89817853796607,9.69189509558433e-05,0.00864880306370119,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT2G37870,9.17312886850737,-0.680570255425497,0.200959158113157,-3.38660980577097,0.000707619523534971,0.0321999194602181,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G77450,141.700382252359,-0.673603966905594,0.174317900377919,-3.8642271702747,0.000111441471751381,0.00949205116870414,NAC domain containing protein 32
AT5G13900,58.8513298305451,-0.67190795414339,0.166408427680193,-4.03770388020656,5.39769277331084e-05,0.00599025274084158,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT5G61820,1038.2910619026,-0.671610968697733,0.175869243377805,-3.81880854092816,0.000134097786913461,0.0107337469516955,
AT1G55230,10.1073301986973,-0.670005898373228,0.201807057030615,-3.3200320555271,0.000900071125081318,0.0365362883788101,Family of unknown function (DUF716) 
AT3G24310,24.6114853448879,-0.668190520212696,0.199468569147922,-3.34985367903843,0.000808542594156062,0.0344258157182658,myb domain protein 305
AT4G00305,9.40593895292449,-0.665261827663442,0.185721845420128,-3.58203326139975,0.000340930371961077,0.0201037965785687,RING/U-box superfamily protein
AT1G68030,3.05030074934167,-0.660372441745244,0.202298282747226,-3.26435020988481,0.00109715459282964,0.0416521679803571,RING/FYVE/PHD zinc finger superfamily protein
AT4G37370,52.6840120666198,-0.660245547303182,0.189265852290783,-3.48845573203981,0.000485819259585566,0.0261699017913511,cytochrome P450, family 81, subfamily D, polypeptide 8
AT3G19615,22.4115716677885,-0.65912703891222,0.152101009900384,-4.33348233087936,1.46769065302399e-05,0.00243771186711843,
AT1G21410,42.427709253345,-0.659038849406746,0.134056832637519,-4.91611532542131,8.82784056261466e-07,0.000382494978811898,F-box/RNI-like superfamily protein
AT5G06760,13.3074709113173,-0.655998412193073,0.199381459420816,-3.29016757174255,0.001001277345102,0.0392071881438664,Late Embryogenesis Abundant 4-5
AT5G22300,30.0334459927875,-0.655650373067725,0.200635892834437,-3.26786181577572,0.00108363259130209,0.0412961399182445,nitrilase 4
AT2G28470,142.500603349212,-0.651595918320006,0.186174691106389,-3.49991674189298,0.000465403495064144,0.0254833985168227,beta-galactosidase 8
AT4G27410,624.798722265812,-0.647757643931776,0.143964094794584,-4.49943886950446,6.8133068441449e-06,0.00148631087539888,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT3G09390,801.591970269552,-0.645352971738053,0.165634035600399,-3.89625821407262,9.76902373144178e-05,0.00864880306370119,metallothionein 2A
AT5G05410,158.456377003451,-0.644566116423869,0.186165870952735,-3.46232160129669,0.00053553681616091,0.0272629915625443,DRE-binding protein 2A
AT3G21780,13.9763732233232,-0.643849280081418,0.192597353772894,-3.34298092610674,0.000828835966767103,0.0349250098385521,UDP-glucosyl transferase 71B6
AT3G46080,30.3443880996313,-0.642317214917458,0.19315178385655,-3.32545318553461,0.00088274923122268,0.0362114629840822,C2H2-type zinc finger family protein
AT4G09760,49.6460177526701,-0.640446250742497,0.158168152917184,-4.04914794116507,5.14044435538211e-05,0.00578837268062829,Protein kinase superfamily protein
AT2G31945,200.186821012186,-0.638756732065761,0.16506967712221,-3.86961883734015,0.000109005638991344,0.00932442656968447,
AT1G05340,1125.66785937568,-0.637922623197117,0.163689805400679,-3.89714326824211,9.73340435346959e-05,0.00864880306370119,
AT3G55090,12.5897447074276,-0.636626632136886,0.190219775818684,-3.34679519727599,0.000817515847226815,0.0345942852464494,ABC-2 type transporter family protein
AT4G25380,19.1755541333234,-0.635092703437018,0.171170750228943,-3.7102875496402,0.000207023967402639,0.0143568427474425,stress-associated protein 10
AT1G07430,10.3965486525703,-0.634607464866109,0.187982659764369,-3.37588299719545,0.000735792026011392,0.032805970451752,highly ABA-induced PP2C gene 2
AT2G29500,446.319022323718,-0.632229902226734,0.201345271903952,-3.1400285502027,0.00168931370331709,0.0571283537659235,HSP20-like chaperones superfamily protein
AT3G57540,101.86223634577,-0.632195959498341,0.184184380400445,-3.43240810172855,0.000598246591724375,0.0294411180732309,Remorin family protein
AT1G76080,102.586063557178,-0.628373603819004,0.181258373385614,-3.46672869276049,0.000526833357244017,0.0270626691835838,chloroplastic drought-induced stress protein of 32 kD
AT4G28110,8.80680802929549,-0.628297365261875,0.187491798290727,-3.3510658652259,0.000805011528517737,0.0344258157182658,myb domain protein 41
AT1G07720,5.49847483522696,-0.628237812805273,0.201951926408195,-3.11082852230609,0.00186563242908273,0.0606177006525209,3-ketoacyl-CoA synthase 3
AT3G50980,38.6963234932385,-0.627646720780226,0.200542800615565,-3.12973948131604,0.0017496139398706,0.0583104441085064,dehydrin xero 1
AT1G75030,90.7036041692169,-0.626767617606461,0.131757286669277,-4.75698637586327,1.96504425919431e-06,0.000642054051311506,thaumatin-like protein 3
AT5G01550,50.2751535371207,-0.625885203624082,0.142003566221523,-4.40753158725404,1.04555356512548e-05,0.00194756337444073,lectin receptor kinase a4.1
AT2G34420,798.785975576416,-0.623499447548829,0.130084822515957,-4.79302224110233,1.6428740332628e-06,0.000579261619032976,photosystem II light harvesting complex gene B1B2
AT1G29910,46.2041650261919,-0.621585821370608,0.184060049883466,-3.37708167396538,0.000732592936235145,0.032805970451752,chlorophyll A/B binding protein 3
AT1G20450,1604.82463671458,-0.621538911685468,0.180206532973002,-3.44903651067181,0.000562590628183474,0.0278811049379797,Dehydrin family protein
AT1G55920,845.647456294408,-0.621370510539015,0.132884445721286,-4.67602138960858,2.92494112171625e-06,0.000857308845543038,serine acetyltransferase 2;1
AT4G16860,9.55591788007701,-0.618668120232731,0.18045801654786,-3.42832162332148,0.000607325495423086,0.029668148159994,Disease resistance protein (TIR-NBS-LRR class) family
AT4G36880,8.97031451939456,-0.617413199245847,0.200975008665439,-3.07208942716677,0.00212566032221375,0.0661977123156911,cysteine proteinase1
AT2G26150,28.0141974342017,-0.617300623084725,0.20199293851193,-3.05605051162849,0.0022427346997802,0.068663510447495,heat shock transcription factor A2
AT1G20823,60.7144380439907,-0.616904901184227,0.166074398007377,-3.71462975983103,0.000203501425657169,0.0143568427474425,RING/U-box superfamily protein
AT5G13080,118.920519621489,-0.608830144081811,0.173826492226559,-3.50251642475926,0.000460885366931541,0.0253305702557896,WRKY DNA-binding protein 75
AT5G25450,136.830469086998,-0.60702387004198,0.174840974051484,-3.47186277893439,0.00051686045675984,0.0268867495348101,Cytochrome bd ubiquinol oxidase, 14kDa subunit
AT1G68530,70.1028306491071,-0.602862264698527,0.165312466740981,-3.64680460332806,0.000265521677864554,0.0170164391045608,3-ketoacyl-CoA synthase 6
AT5G49690,10.8746218490303,-0.602335308913614,0.188428187712826,-3.1966305902788,0.0013904287096137,0.0498428680059544,UDP-Glycosyltransferase superfamily protein
AT2G46790,16.030216283273,-0.601797492273767,0.176433731620901,-3.41089816978329,0.000647492684356783,0.0307999443721123,pseudo-response regulator 9
AT3G08860,27.3866222532125,-0.601344086510825,0.169861328505559,-3.54020595388871,0.00039981489204572,0.0224658755891714,PYRIMIDINE 4
AT1G73750,24.5827638881179,-0.600673124315006,0.190041679538978,-3.1607441366135,0.00157366665931438,0.0545473916292085,Uncharacterised conserved protein UCP031088, alpha/beta hydrolase
AT2G45850,4.20939148197783,-0.600531588974353,0.20227740675656,-2.96885153217872,0.00298914981987089,0.0814562484405784,AT hook motif DNA-binding family protein
AT1G17147,54.316400345759,-0.596861888159044,0.134369609336621,-4.44194108404226,8.91509730263871e-06,0.00178806667873975,VQ motif-containing protein
AT4G30270,575.921482468648,-0.596024959144792,0.201848583774191,-2.95283200902499,0.00314873265819288,0.0839002548267944,xyloglucan endotransglucosylase/hydrolase 24
AT4G16190,3222.23024469483,-0.595361183334853,0.12884957623703,-4.62059093030803,3.82648588495837e-06,0.00101687586897474,Papain family cysteine protease
AT2G26870,4.06287811115994,-0.593174097130927,0.201076934511504,-2.94998577818975,0.00317788557312504,0.0843387980798338,non-specific phospholipase C2
AT2G37770,5.32097174888351,-0.592183174377063,0.193964597977113,-3.05304772393022,0.00226529908954529,0.0691419236657383,NAD(P)-linked oxidoreductase superfamily protein
AT4G05180,60.258015699712,-0.5915914730331,0.121666005501247,-4.86242209231598,1.15958024012308e-06,0.00048149153678944,photosystem II subunit Q-2
AT1G53560,295.098073353156,-0.588892626922855,0.148350357269576,-3.96960706911371,7.19912521138747e-05,0.0069653283780662,Ribosomal protein L18ae family
AT5G47530,153.114087917879,-0.588861912564993,0.185894330351235,-3.16772389697082,0.0015363735584115,0.0536277782709277,Auxin-responsive family protein
AT1G28260,59.6371665560839,-0.588744100525004,0.155651128531612,-3.78245956890337,0.000155286322138569,0.0118582823239227,Telomerase activating protein Est1
AT4G10340,143.460083694255,-0.586116724294727,0.11292337821417,-5.190393110478,2.09850561928045e-07,0.000139985591289815,light harvesting complex of photosystem II 5
AT1G78230,5.7458997740315,-0.585873067083672,0.199120404245133,-2.94230553269877,0.00325778328390515,0.0852111268130098,Outer arm dynein light chain 1 protein
AT3G50260,252.855221562476,-0.585711394919411,0.15205518713939,-3.85196589434654,0.000117173345431781,0.00982556250545889,cooperatively regulated by ethylene and jasmonate 1
AT1G60190,11.5024403287278,-0.585590678917905,0.201294960982355,-2.90911742678564,0.00362450692900782,0.0898508054751926,ARM repeat superfamily protein
AT3G23170,22.9705762295756,-0.585155770824054,0.177257518459186,-3.30116192481159,0.000962852959124686,0.0384581609785854,
AT3G14440,16.0470393665329,-0.584938303209278,0.199569073688994,-2.93100675569021,0.00337865433881245,0.0865552180293972,nine-cis-epoxycarotenoid dioxygenase 3
AT3G22620,535.411169477959,-0.580645472857386,0.152194735739488,-3.8151482049371,0.000136101224494694,0.0107644186722371,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT5G59220,80.5273928234292,-0.57908154893792,0.198328993762133,-2.91980278805046,0.00350252957339357,0.0889285565952958,highly ABA-induced PP2C gene 1
AT2G23110,4.12345480128015,-0.577326834133976,0.201774126253005,-2.86125304990822,0.00421970099144377,0.0973140530879824,Late embryogenesis abundant protein, group 6
AT4G08555,149.637660146474,-0.577122409590092,0.20142457915968,-2.86520350196476,0.0041674133237507,0.096694662346537,
AT5G28510,6.49376119401829,-0.573834565757088,0.200415860310539,-2.86321933238191,0.00419360160597373,0.0970762759682489,beta glucosidase 24
AT1G61810,22.2530735605811,-0.573475655430548,0.148177250910009,-3.8702003978926,0.000108745925518178,0.00932442656968447,beta-glucosidase 45
AT5G58780,20.4476916132903,-0.572769926977885,0.193823581986583,-2.95510959557819,0.00312557998610485,0.083731095030989,Undecaprenyl pyrophosphate synthetase family protein
AT5G52310,163.359876502289,-0.572486083267072,0.200782644983088,-2.85127274478973,0.00435446004941418,0.0990739078137831,low-temperature-responsive protein 78 (LTI78) / desiccation-responsive protein 29A (RD29A)
AT5G17860,26.1568304789085,-0.571714558680714,0.195296537107607,-2.92741779832841,0.00341789397819363,0.0872241291669362,calcium exchanger 7
AT3G49570,22.5590034428434,-0.570543713906971,0.194549380034353,-2.93264215905611,0.00336091017026778,0.0863399750477857,response to low sulfur 3
AT2G36220,173.290620689435,-0.569252352376723,0.167135590983113,-3.40593137002303,0.000659387527287709,0.031004645544606,
AT1G01720,290.723922375479,-0.569110070009901,0.134979427189482,-4.21627267102708,2.48373419801878e-05,0.00352312556865233,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G02660,68.3790625220066,-0.568918595441843,0.18181339608526,-3.12913463854475,0.00175321954338631,0.0583104441085064,alpha/beta-Hydrolases superfamily protein
AT1G61520,148.956685498192,-0.568107634994146,0.144428528531398,-3.93348627705945,8.3722620916637e-05,0.0078988504500596,photosystem I light harvesting complex gene 3
AT3G54050,9.135315955989,-0.565727048427195,0.190597404863116,-2.96817812830921,0.00299570669343957,0.0814562484405784,high cyclic electron flow 1
AT3G04070,76.6070713263121,-0.565422559302888,0.14144598231583,-3.99744517338339,6.40298150093024e-05,0.00645016079185176,NAC domain containing protein 47
AT2G05520,32.9695820589183,-0.5638339441049,0.190299759857915,-2.96287259913454,0.00304782687541926,0.0823869677738497,glycine-rich protein 3
AT1G59740,28.8052882750219,-0.563537443292979,0.134907987534398,-4.17719850093599,2.95121462716206e-05,0.00396081808083325,Major facilitator superfamily protein
AT3G28750,1.78931665381624,-0.563018195098011,0.188392137638214,-2.9885440133347,0.00280310124177614,0.0786881842955496,
AT2G36950,829.597596221956,-0.562819168315802,0.098768772928812,-5.69835132731128,1.20971561219409e-08,1.69813711382742e-05,Heavy metal transport/detoxification superfamily protein 
AT3G47470,523.698233262905,-0.562628446557743,0.134202677451425,-4.19237870094944,2.76044686522055e-05,0.00374275282113678,light-harvesting chlorophyll-protein complex I subunit A4
AT1G55850,581.627909788949,-0.560457337751386,0.128788902152116,-4.35175180769392,1.35054094364767e-05,0.00232048547826222,cellulose synthase like E1
AT4G33666,152.712448210404,-0.558333259724017,0.1617957196264,-3.45085309434177,0.000558817654417373,0.0277750490528495,
AT1G64610,28.4841166061305,-0.557546505342981,0.134071230319935,-4.15858423923243,3.20226139812797e-05,0.00407636833851073,Transducin/WD40 repeat-like superfamily protein
AT1G08920,224.613392654178,-0.557190496111104,0.0830832475848643,-6.70641209037923,1.99467919715916e-11,1.32519836928597e-07,ERD (early response to dehydration) six-like 1
AT5G58330,39.1013280531568,-0.554551328195459,0.129890437285562,-4.26937763691015,1.96019149135458e-05,0.00302857183055722,lactate/malate dehydrogenase family protein
AT4G02770,142.52712971963,-0.5533229457194,0.116169705456384,-4.76305714597121,1.90681812188358e-06,0.000633413199787694,photosystem I subunit D-1
AT1G47510,26.3591768889439,-0.551383778241537,0.176394823834057,-3.12585010295002,0.00177291895719666,0.0586004108389498,inositol polyphosphate 5-phosphatase 11
AT3G14660,700.839165861222,-0.551347314211135,0.108333629377155,-5.08934591576975,3.59300670375644e-07,0.000193546531385323,cytochrome P450, family 72, subfamily A, polypeptide 13
AT2G26690,42.6539459536213,-0.549123251734194,0.127957527404451,-4.29144938068797,1.77510670737525e-05,0.00283037214277568,Major facilitator superfamily protein
AT1G33110,110.568808725823,-0.547051200246183,0.152222732856943,-3.59375495354097,0.000325946401586973,0.0193923514329253,MATE efflux family protein
AT3G01490,9.54243436767516,-0.546964754891928,0.182023332406916,-3.00491562075779,0.00265654535590336,0.0767179464469158,Protein kinase superfamily protein
AT1G17020,63.5828705899622,-0.546419058780411,0.166159566448326,-3.2885200079668,0.00100715625557079,0.0393600614309438,senescence-related gene 1
AT4G14020,64.2476199521053,-0.546168392603234,0.168999512462484,-3.23177495985071,0.00123023900863972,0.0454072105207376,Rapid alkalinization factor (RALF) family protein
AT1G62510,225.55305859079,-0.544901609301547,0.136990833161103,-3.97765015897623,6.95996704512267e-05,0.0068334533584404,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT4G24040,16.9544779293445,-0.544891019172209,0.180088961381482,-3.0256769487274,0.00248077199722061,0.0732507654468208,trehalase 1
AT2G17500,631.42378589666,-0.544260210119848,0.100146230363046,-5.4346549854829,5.4902558861784e-08,5.21077571749627e-05,Auxin efflux carrier family protein
AT3G48520,67.6959570067418,-0.543895841263992,0.186998935646835,-2.9085504651812,0.00363108566658282,0.0899020725722512,cytochrome P450, family 94, subfamily B, polypeptide 3
AT2G47240,13.433191731595,-0.543786706545985,0.186839843647284,-2.91044295440829,0.00360916844936899,0.0897301392272397,AMP-dependent synthetase and ligase family protein
AT2G41730,63.1826775824492,-0.543725290536218,0.185367300897208,-2.93323195571441,0.00335453171021745,0.0863399750477857,
AT4G34135,261.311830172725,-0.542315576092955,0.155986988247543,-3.47667188260812,0.00050767869984051,0.0267023474978035,UDP-glucosyltransferase 73B2
AT4G18280,36.3532191917127,-0.541389943638241,0.17010791899639,-3.18262633998673,0.00145945827466056,0.0516668967535694,glycine-rich cell wall protein-related
AT2G45220,1173.6059015502,-0.541123713060055,0.168882160631788,-3.20414963330473,0.00135462053755084,0.0487333983861897,Plant invertase/pectin methylesterase inhibitor superfamily
AT5G20830,384.350855017688,-0.541075848617865,0.180638352442702,-2.9953542052455,0.00274126313080289,0.0781632553076286,sucrose synthase 1
AT2G47710,170.900520047805,-0.540581111910169,0.146415363497913,-3.69210647704928,0.000222404309977865,0.0150262383124367,Adenine nucleotide alpha hydrolases-like superfamily protein
AT1G58340,307.955945928598,-0.539371675621048,0.166382653773044,-3.24175425376244,0.00118796412991544,0.0442739190918062,MATE efflux family protein
AT5G63790,633.264065030747,-0.538412079150828,0.148235116487376,-3.63214933080098,0.000281070383310624,0.0176163956281888,NAC domain containing protein 102
AT5G13580,153.692809520724,-0.538391632597146,0.125418225184764,-4.29277030355036,1.76457529378702e-05,0.00283037214277568,ABC-2 type transporter family protein
AT4G38060,316.136723622183,-0.537765004675697,0.118353318914395,-4.54372559729114,5.52685953128063e-06,0.00128088182927854,
AT3G12510,52.7362063726414,-0.53673720866139,0.155219091523417,-3.45793293462497,0.000544336869988138,0.0274509504098174,MADS-box family protein
AT2G29320,26.6235950467918,-0.534320852608596,0.185088104860742,-2.88684598618919,0.00389124655589461,0.0932290689471842,NAD(P)-binding Rossmann-fold superfamily protein
AT4G27830,59.192516601476,-0.534215578044128,0.121723230781512,-4.38877258362476,1.13992194005397e-05,0.00206543492611052,beta glucosidase 10
AT3G09350,105.489078334898,-0.532474307868896,0.170263374782644,-3.12735671161603,0.00176385775746933,0.0583977557543541,Fes1A
AT3G49120,1552.25106417844,-0.531709506626729,0.11473590423388,-4.63420330520845,3.58314724448599e-06,0.000978297366162333,peroxidase CB
AT2G19310,388.542398922168,-0.530794599586408,0.174894124120872,-3.03494815651764,0.00240577036993236,0.0718881697797929,HSP20-like chaperones superfamily protein
AT5G16010,137.491283694874,-0.530784730688523,0.12138447477202,-4.37275633218682,1.22687633965659e-05,0.00215507406789468,3-oxo-5-alpha-steroid 4-dehydrogenase family protein
AT5G20270,44.7499152857607,-0.528749589126164,0.168406856628818,-3.13971532816843,0.00169112080286463,0.0571283537659235,heptahelical transmembrane protein1
AT4G15550,239.396472375156,-0.528024337335141,0.169774698420684,-3.11014740268748,0.0018699400212011,0.0606177006525209,indole-3-acetate beta-D-glucosyltransferase
AT3G44300,954.718491052157,-0.527277196981973,0.160223435577777,-3.29088684860973,0.000998720764777073,0.0392071881438664,nitrilase 2
AT2G29420,947.60161620692,-0.526495823760537,0.131320903514873,-4.00923089674682,6.09168299363424e-05,0.00634015053459934,glutathione S-transferase tau 7
AT1G14200,486.921102086872,-0.525820851107724,0.162200804935095,-3.24178940615081,0.00118781761691101,0.0442739190918062,RING/U-box superfamily protein
AT1G61890,359.341419108116,-0.525262037166679,0.108406645566297,-4.84529370337771,1.26424515670394e-06,0.000494071965064043,MATE efflux family protein
AT4G23700,576.22334557501,-0.524168480239126,0.167279093716151,-3.13349665277698,0.00172736888678179,0.0581528432094806,cation/H+ exchanger 17
AT1G72680,155.976316141417,-0.523438163123197,0.113860652874369,-4.59718216881073,4.28243174518564e-06,0.00108727286877741,cinnamyl-alcohol dehydrogenase
AT4G21120,161.874742425426,-0.521913309380944,0.130722463227292,-3.99252964254105,6.53721579426047e-05,0.00645016079185176,amino acid transporter 1
AT2G20560,174.162146017894,-0.521440209906468,0.176577133818701,-2.95304493073182,0.00314656160936179,0.0839002548267944,DNAJ heat shock family protein
AT1G68450,184.186330985151,-0.520446631911762,0.10208432441225,-5.09820322471867,3.42892587830584e-07,0.00018983867133476,VQ motif-containing protein
AT1G09070,1397.22581549718,-0.520082548626602,0.122256916063972,-4.25401331368825,2.09972808615023e-05,0.00321920619115848,soybean gene regulated by cold-2
AT3G03270,228.72557507201,-0.518859071553065,0.117944979423788,-4.39916199984022,1.08669685642774e-05,0.00200545880050568,Adenine nucleotide alpha hydrolases-like superfamily protein
AT3G62590,39.1573922792067,-0.518184717923239,0.143072348070455,-3.62183695809662,0.000292518469350783,0.0181061664988523,alpha/beta-Hydrolases superfamily protein
AT3G03341,8.98926691432068,-0.517691506383517,0.166500055809749,-3.1092572543943,0.00187558334217815,0.0606854733651829,
AT2G32690,95.7537938570954,-0.51656605090686,0.148006090337907,-3.49016753113002,0.000482717832435328,0.0260763324318436,glycine-rich protein 23
AT1G04420,12.0129055996384,-0.515070269497754,0.17306335652174,-2.97619484476513,0.00291849371424684,0.0807895808592412,NAD(P)-linked oxidoreductase superfamily protein
AT1G02850,250.72228854171,-0.514923768734797,0.171854916631874,-2.9962702192443,0.00273304128143456,0.0781524329702613,beta glucosidase 11
AT2G15480,516.501033081482,-0.51283967726581,0.140060154833119,-3.6615672592741,0.000250677029340072,0.0163811274484491,UDP-glucosyl transferase 73B5
AT3G18400,17.6156312084284,-0.512532255244536,0.151876279153893,-3.37466955405985,0.000739043737536332,0.032805970451752,NAC domain containing protein 58
